"BBRefName","BBRefLink","BBRefID","BBRefBirthDate"
"Lance Allred","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/allrela01.html","allrela01",1981-02-02
"Morris Almond","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/almonmo01.html","almonmo01",1985-02-02
"Derrick Alston","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/alstode01.html","alstode01",1972-08-20
"Rafer Alston","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/alstora01.html","alstora01",1976-07-24
"Peter Aluma","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/alumape01.html","alumape01",1973-04-23
"John Amaechi","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/amaecjo01.html","amaecjo01",1970-11-26
"Ashraf Amaya","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/amayaas01.html","amayaas01",1971-11-23
"Al-Farouq Aminu","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/aminual01.html","aminual01",1990-09-21
"Lou Amundson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/amundlo01.html","amundlo01",1982-12-07
"Alan Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderal01.html","anderal01",1982-10-16
"Antonio Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderan02.html","anderan02",1985-06-05
"Chris Andersen","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderch01.html","anderch01",1978-07-07
"David Andersen","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderda03.html","anderda03",1980-06-23
"Derek Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderde01.html","anderde01",1974-07-18
"Eric Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderer01.html","anderer01",1970-05-26
"Greg Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/andergr01.html","andergr01",1964-06-22
"James Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderja01.html","anderja01",1989-03-25
"Justin Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderju01.html","anderju01",1993-11-19
"Kenny Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderke01.html","anderke01",1970-10-09
"Kyle Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderky01.html","anderky01",1993-09-20
"Nick Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderni01.html","anderni01",1968-01-20
"Richard Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderri01.html","anderri01",1960-11-19
"Ron Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderro01.html","anderro01",1958-10-15
"Ryan Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderry01.html","anderry01",1988-05-06
"Shandon Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/andersh01.html","andersh01",1973-12-31
"Willie Anderson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anderwi01.html","anderwi01",1967-01-08
"Martynas Andriuškevičius","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/andrima01.html","andrima01",1986-03-12
"Ike Anigbogu","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anigbik01.html","anigbik01",1998-10-17
"Michael Ansley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anslemi01.html","anslemi01",1967-02-08
"Chris Anstey","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anstech01.html","anstech01",1975-01-01
"Giannis Antetokounmpo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/antetgi01.html","antetgi01",1994-12-06
"Kostas Antetokounmpo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/antetko01.html","antetko01",1997-11-20
"Thanasis Antetokounmpo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/antetth01.html","antetth01",1992-07-18
"Carmelo Anthony","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anthoca01.html","anthoca01",1984-05-29
"Cole Anthony","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anthoco01.html","anthoco01",2000-05-15
"Greg Anthony","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anthogr01.html","anthogr01",1967-11-15
"Joel Anthony","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anthojo01.html","anthojo01",1982-08-09
"Pero Antić","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anticpe01.html","anticpe01",1982-07-29
"OG Anunoby","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/anunoog01.html","anunoog01",1997-07-17
"Keith Appling","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/applike01.html","applike01",1992-02-13
