"draft_year","pick","player","draft_age","draft_age2","pick_group","year_group","draft_team","make_nba","nba_seasons","player_id","season","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs"
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",1998,2399,1300,-1.24063651,-0.618015004,-1.858651515,0.59130638,0.629671555,-0.038365176
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",1993,3013,1570,1.025621631,0.918058462,1.943680094,3.735285567,3.816130573,-0.080845006
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",1995,1701,982,-2.018219077,-0.106554331,-2.124773408,0.319722046,0.242779945,0.076942101
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",1994,4532,2536,-1.591417666,1.951409914,0.359992248,4.015452928,4.092581938,-0.07712901
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",2002,2903,1492,-2.889781694,-0.550426948,-3.440208642,-0.522907606,-0.505324349,-0.017583257
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",1992,4340,2070,-1.294401708,0.097280663,-1.197121045,1.644543228,1.644543228,0
"1990",11,"Tyrone Hill",22.2958904109589,22,"11-18","90's","GOS","Yes",14,"hillty01",1997,3923,2064,-0.068097027,0.54438734,0.476290313,3.395585407,3.395585407,0
"1990",12,"Alec Kessler",23.4767123287671,23,"11-18","90's","MIA","Yes",4,"kesslal01",1991,2487,1209,-3.134267095,-1.603544847,-4.737811942,-1.236456851,-1.160978578,-0.075478273
"1990",12,"Alec Kessler",23.4767123287671,23,"11-18","90's","MIA","Yes",4,"kesslal01",1992,827,415,-2.402506769,-1.571518541,-3.97402531,-0.260415635,-0.260415635,0
"1990",12,"Alec Kessler",23.4767123287671,23,"11-18","90's","MIA","Yes",4,"kesslal01",1993,130,66,-1.513169853,-2.740658474,-4.253828327,-0.05134796,-0.05134796,0
"1990",12,"Alec Kessler",23.4767123287671,23,"11-18","90's","MIA","Yes",4,"kesslal01",1990,2634,1259,-5.858220726,-1.484807432,-7.343028158,-2.966653448,-2.966653448,0
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1999,619,308,-4.610759057,-0.28191607,-4.892675127,-0.333751583,-0.36389387,0.030142287
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1992,3551,1703,-1.023594323,0.175395369,-0.848198954,1.657224412,1.539622243,0.117602169
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1990,2480,1178,-1.942151174,-0.69690926,-2.639060434,0.06654275,0.06654275,0
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1991,3500,1723,-1.215065876,-0.078860461,-1.293926338,1.288421771,1.107551808,0.180869963
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1996,5625,2928,-0.785236145,0.193717428,-0.591518717,3.228369718,2.958565333,0.269804385
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1998,900,496,-4.217231,0.796911165,-3.420319835,-0.165848663,-0.195927326,0.030078663
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1995,5825,2966,-0.676936732,0.024650792,-0.65228594,3.159153168,3.159153168,0
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",2000,1077,549,-2.18448155,-1.666239896,-3.850721446,-0.309975083,-0.309975083,0
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1997,516,265,-4.351224496,-2.169826793,-6.521051289,-0.511163923,-0.511163923,0
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1993,4445,2118,-0.061076723,-0.029834318,-0.090911042,2.868158412,2.868158412,0
"1990",13,"Loy Vaught",22.3534246575342,22,"11-18","90's","LAC","Yes",11,"vaughlo01",1994,5894,2966,-0.733771198,-0.328274705,-1.062045903,2.543054891,2.543054891,0
"1990",14,"Travis Mays",22.0438356164384,22,"11-18","90's","SAC","Yes",3,"maystr01",1990,4281,2145,-0.509554077,-1.083386637,-1.592940715,1.269497658,1.269497658,0
"1990",14,"Travis Mays",22.0438356164384,22,"11-18","90's","SAC","Yes",3,"maystr01",1992,1657,807,-2.45435345,-2.790705723,-5.245059173,-1.035020328,-0.971791316,-0.063229013
"1990",14,"Travis Mays",22.0438356164384,22,"11-18","90's","SAC","Yes",3,"maystr01",1991,66,32,-2.170356396,-5.195612091,-7.365968486,-0.075739411,-0.075739411,0
"1990",15,"Dave Jamerson",22.8958904109589,22,"11-18","90's","HOU","Yes",3,"jamerda01",1991,758,378,-1.48056674,-1.297406629,-2.777973369,-0.005421965,-0.005421965,0
"1990",15,"Dave Jamerson",22.8958904109589,22,"11-18","90's","HOU","Yes",3,"jamerda01",1990,459,223,-1.986992065,-1.725855253,-3.712847318,-0.096921012,-0.207903036,0.110982025
"1990",15,"Dave Jamerson",22.8958904109589,22,"11-18","90's","HOU","Yes",3,"jamerda01",1993,28,14,-19.61331085,-2.913896508,-22.52720736,-0.140019618,-0.140019618,0
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1996,3896,2193,1.927355325,-0.250740345,1.67661498,4.975946707,4.389400145,0.586546562
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1993,5505,2773,0.384465714,-0.612725506,-0.228259792,3.568078243,3.568078243,0
"1990",16,"Terry Mills",22.5397260273973,22,"11-18","90's","DEN","Yes",11,"millste01",1990,1798,819,-1.895790321,-0.771822143,-2.667612464,0.033440141,0.033440141,0
